X Y
0.819970 0.655530
-0.572565 -0.571075
0.169649 0.138484
-0.296886 -0.278684
0.395847 0.233129
0.523084 0.370441
-0.325160 -0.312077
0.204992 0.334649
0.077756 0.079902
0.219130 0.115600
0.650321 0.524757
0.120168 0.127321
-0.367573 -0.358166
-0.021206 -0.057163
-0.063618 -0.112010
-0.409985 -0.347856
-1.109787 -1.038696
0.466534 0.470309
0.028275 0.032039
0.303954 0.294187
-1.477359 -1.374446
0.360504 0.382203
1.017893 0.941078
1.187542 1.024807
0.212061 0.141309
-0.664458 -0.619971
0.424122 0.455254
0.000000 0.108694
0.664458 0.511923
-0.303954 -0.338102
-0.063618 -0.044223
-0.395847 -0.398180
0.282748 0.275928
-0.311023 -0.161287
-0.551359 -0.529142
-2.516459 -2.143145
-2.226642 -2.053269
-0.325160 -0.421615
-3.124367 -2.836633
-0.982550 -0.763769
3.597971 2.832306
-2.078199 -1.858799
3.202123 2.714003
-2.530596 -2.155426
-0.692733 -0.753805
-5.506521 -5.466671
3.456596 3.069341
-4.142261 -3.797451
-7.061636 -6.677959
6.616307 6.410624
-9.139835 -8.052533
3.675726 3.410956
-4.453284 -4.224109
0.671527 0.764550
-3.216261 -2.388603
-2.148886 -1.535846
8.037117 7.555098
1.689420 1.945716
4.509833 3.958557
-2.869894 -2.765819
2.254917 1.770761
-1.300642 -1.065651
-3.138505 -3.186346
1.583390 1.480796
-1.194611 -1.057937
5.464109 5.042486
-0.084824 0.205115
2.431634 2.235935
0.862382 1.067763
-0.982550 -1.136363
1.689420 1.089152
-1.314779 -1.626375
0.098962 -0.431523
2.113543 2.667869
-1.724764 -1.658313
-1.887344 -1.847284
1.406672 1.161483
0.120168 0.178590
0.784626 0.467862
1.067374 1.221231
-0.091893 0.214250
1.562184 1.818081
-0.827038 -1.042015
-1.802520 -1.924513
0.077756 -0.097757
0.395847 0.195113
-0.643252 -0.791150
0.629115 0.859480
1.350123 1.467869
-0.318092 -0.510376
-1.335985 -1.386585
-1.533909 -1.650595
1.145130 1.213714
0.176718 -0.011657
2.721451 2.985923
-1.123924 -1.077404
1.074443 1.249709
-0.289817 -0.233795
-0.028275 -0.039491
1.533909 1.826124
1.562184 1.603144
-0.409985 -0.580712
-0.049481 -0.104536
0.254473 0.325942
0.742214 0.748497
1.449084 1.670802
0.035344 0.401538
2.226642 2.048713
1.201680 1.357664
-0.770489 -1.038146
-0.735145 -0.860261
-4.877406 -4.652480
1.343054 1.479278
0.438260 0.493207
1.442016 1.220415
-0.459466 -0.547922
-0.106031 0.009727
-0.565496 -0.457396
0.417054 0.171253
0.353435 0.137953
-1.922688 -1.935401
0.834107 0.901266
-2.007512 -1.721300
1.639939 1.542767
0.600840 0.465407
-0.212061 -0.190887
0.254473 0.291865
1.258229 1.124766
-1.067374 -1.154493
0.480672 0.294029
-0.982550 -1.104528
1.017893 1.123876
0.028275 -0.110182
1.505634 1.276728
0.600840 0.723764
-0.353435 -0.286294
-0.162580 -0.107122
0.021206 -0.165584
0.424122 0.591466
0.438260 0.358917
-0.926000 -0.668724
-0.480672 -0.737309
0.303954 0.218771
-0.544290 -0.463101
0.431191 0.378397
-0.600840 -0.872211
0.311023 -0.200317
0.629115 0.406423
0.438260 0.340076
0.982550 1.003693
0.480672 0.273470
0.120168 0.241197
0.918932 1.049927
-0.268611 -0.084049
0.742214 0.341385
-0.204992 -0.423283
0.084824 0.144193
-0.219130 -0.402788
-0.169649 -0.208899
-0.219130 -0.209553
0.120168 -0.052887
0.487741 0.081087
0.954275 1.148843
-0.148443 0.058689
0.212061 0.512013
0.402916 0.548027
0.402916 0.320560
-0.551359 -0.593425
0.537222 0.401886
1.123924 1.118722
-1.965100 -1.511603
-0.395847 -0.086955
-1.590458 -1.449137
1.130993 0.791345
-1.024962 -0.874148
0.339298 0.427200
0.834107 0.719963
0.007069 -0.110098
0.091893 0.205086
-0.332229 -0.169835
-0.622046 -0.656868
-1.300642 -1.381259
0.367573 0.252153
-1.357191 -1.299673
0.141374 0.015329
0.947206 0.813027
1.067374 1.244103
-0.339298 -0.488472
0.848245 0.653992
0.091893 -0.038874
-0.339298 -0.083343
1.187542 1.043314
-0.947206 -0.910882
1.350123 1.165355
0.303954 0.678028
0.402916 0.155494
0.622046 0.514229
-0.388779 -0.592543
-0.409985 -0.183555
-0.049481 0.107247
0.275679 0.212692
-1.017893 -0.836454
0.282748 0.269232
-0.247405 -0.279761
0.381710 0.644283
-0.070687 -0.355712
-1.618733 -1.550850
-0.565496 -0.803635
-2.424566 -2.115082
0.367573 0.434800
-0.417054 -0.292581
1.130993 1.210214
1.456153 1.323184
0.947206 0.171655
1.378397 1.393508
-0.169649 -0.221173
2.085268 3.367808
0.636183 0.814323
-0.056550 -0.330317
-0.763420 -0.839016
0.968413 1.216468
1.130993 1.451588
-0.395847 -0.387692
-0.819970 -0.771659
0.106031 0.145121
-0.530153 -0.463973
0.791695 1.046197
1.088580 1.288814
-0.409985 -0.365412
0.091893 -0.066021
-0.643252 -0.768769
0.445328 0.526545
0.141374 0.487785
0.204992 0.425640
0.586702 0.679537
-0.346367 -0.452532
0.247405 0.237380
-0.247405 -0.247090
-0.162580 -0.028345
0.113099 0.034521
-0.438260 -0.509020
0.798764 0.756486
-0.106031 -0.174397
0.346367 0.157340
-0.289817 -0.258689
0.084824 -0.002279
-0.473603 -0.478059
0.268611 0.372912
0.162580 0.106523
0.480672 0.350676
-0.155511 -0.075484
0.169649 0.215638
0.459466 0.371614
1.141182 0.895447
-0.796860 -0.780083
0.236107 0.189168
-0.413187 -0.380680
0.550916 0.318452
0.727996 0.506019
-0.452538 -0.426294
0.285296 0.457127
0.108216 0.109145
0.304971 0.157909
0.905076 0.716812
0.167242 0.173919
-0.511565 -0.489251
-0.029513 -0.078085
-0.088540 -0.153005
-0.570591 -0.475168
-1.544531 -1.418848
0.649293 0.642438
0.039351 0.043765
0.423024 0.401856
-2.056096 -1.877479
