beta q_i
0.706870 0.119745
0.983778 0.163571
1.474657 0.277166
1.778593 0.335217
0.973398 0.179686
0.897468 0.154229
0.905907 0.160138
1.351551 0.250473
1.026982 0.189174
1.288054 0.242440
1.243112 0.226797
1.013640 0.174607
1.068966 0.197051
0.940321 0.169679
1.049858 0.186049
0.629143 0.107223
1.265047 0.236636
0.762983 0.137806
0.904414 0.158590
0.806688 0.144632
0.629888 0.107433
0.977363 0.164540
0.905698 0.158657
0.635100 0.106741
1.030447 0.189240
1.075006 0.182313
1.057529 0.187998
0.486763 0.085104
0.796511 0.147980
0.445908 0.072589
